"","DietEcotype","Symbiosis","Habitat","body_ratio","head_ratio","snout_ratio","eye_ratio","peduncle_ratio","anal_fin_ratio","pelvic_fin_ratio","eye_height","snout_angle","peduncle_depth_factor","relative_body_length","source1","source2","source3"
"Abudefduf_nigrimargo","P","No","rocky-reef",0.577818458913289,0.15311723035343,0.396563586443278,0.5105962691398,0.0196621869626128,0.235966868707544,0.0490801823805439,0.683005557345216,1.25148755942841,1.93499247041063,0.522845053455157,"https://www.fishbase.se/summary/Abudefduf-nigrimargo.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_notatus","B","No","rocky-reef",0.566698723347486,0.183251822172953,0.454687990894795,0.401980839543769,0.0149461043900862,0.286517273674272,0.0823260870132298,0.574860356885125,1.15005119288719,1.76066546204871,0.540569899251866,"https://www.fishbase.se/summary/Abudefduf-notatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_saxatilis","I","No","seagrass-rubble-sand",0.541128028498374,0.177428655193661,0.493941571679359,0.37849421145692,0.019081725925614,0.210607431736115,0.0777833409382207,0.659607194883578,1.21204789686327,1.55183015504993,0.538433659380974,"https://www.fishbase.se/summary/Abudefduf-saxatilis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex","Bosch et al. 2022"
"Abudefduf_septemfasciatus","B","No","coral-reef",0.542822615042634,0.18569384474103,0.514369135950112,0.283546358496115,0.0190949666484572,0.214249639095785,0.0898724926451016,0.653088523630053,1.25139727881715,1.92180237317208,0.539562984554011,"https://www.fishbase.se/summary/Abudefduf-septemfasciatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_sexfasciatus","I","No","rocky-reef",0.524345541141573,0.187699156831986,0.462178796508278,0.335830236640819,0.018262437006975,0.21654668573919,0.0960402659783401,0.666731024210884,1.2259848399904,1.82340079238119,0.532063945001667,"https://www.fishbase.se/summary/Abudefduf-sexfasciatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_sordidus","B","No","rocky-reef",0.591228822760153,0.168274312066028,0.405581422533583,0.440516042100583,0.0153315892914179,0.258431298466173,0.0925931947563307,0.64425666651327,1.27972471061624,2.18488080155178,0.528272443559107,"https://www.fishbase.se/summary/Abudefduf-sordidus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_sparoides","P","No","rocky-reef",0.567442982422054,0.167306796171525,0.388388639634204,0.480059335615943,0.0163129688643918,0.23524636155631,0.0561353393602969,0.710199206090436,1.23369218367025,1.93168742818268,0.528333511864946,"https://www.fishbase.se/summary/Abudefduf-sparoides.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_taurus","B","No","coral-reef",0.514062443256172,0.200155724020455,0.564784129407808,0.293712707610019,0.0154970979216637,0.198204309600549,0.111581415792801,0.629095154313808,1.15062799511,1.94481799287082,0.545407087978173,"https://www.fishbase.se/summary/Abudefduf-taurus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex","Bosch et al. 2022"
"Abudefduf_troschelii","I","No","seagrass-rubble-sand",0.658419958335264,0.212740319210208,0.556673988763596,0.27228724677808,0.0169701137595616,0.261041639537395,0.122389253220521,0.571304253922885,1.22909799661228,1.80754856382768,0.531073510805189,"https://www.fishbase.se/summary/Abudefduf-troschelii.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_vaigiensis","I","No","rocky-reef",0.527189560756244,0.172799589244567,0.549867698795178,0.3415200211804,0.0221009796686122,0.213840465388182,0.0821066340307496,0.61536581970702,1.23914044986798,1.42532025229133,0.547003350898254,"https://www.fishbase.se/summary/Abudefduf-vaigiensis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Abudefduf_whitleyi","I","No","coral-reef",0.519776818742055,0.161142629872453,0.450451201935502,0.48377665801619,0.0228541168046875,0.249478111812842,0.071343054921233,0.704788563204447,1.25008107053431,1.76945553017458,0.540680253479371,"https://www.fishbase.se/summary/Abudefduf-whitleyi.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Acanthochromis_polyacanthus","I","No","coral-reef",0.538080775314678,0.192775791369574,0.447556024099023,0.408700977974783,0.0141503339570024,0.27237013690561,0.0662288813952364,0.664324607129114,1.20881099892845,1.42825677993435,0.541220987000825,"https://www.fishbase.se/summary/Acanthochromis-polyacanthus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Altrichthys_alelia","I","No","coral-reef",0.542755412499275,0.153808047897391,0.382000150904583,0.366934839238973,0.0220030747644047,0.212305809780863,0.105481009005827,0.679930696928179,1.37780350426813,1.31794935087495,0.538053017806698,"https://www.fishbase.se/summary/Altrichthys-alelia.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Altrichthys_azurelineatus","I","No","coral-reef",0.518992095871323,0.204071206622344,0.442325491812849,0.398141865829189,0.0206801461161875,0.273036254977936,0.0818956827469631,0.658497427866774,1.22181791746037,1.35062648488902,0.552914205854417,"https://www.fishbase.se/summary/Altrichthys-azurelineatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Altrichthys_curatus","P","No","coral-reef",0.49806271941551,0.233339416287219,0.432381878656837,0.453303883470217,0.017525157152304,0.265607307397875,0.124484597662308,0.573338148963883,1.13321509659129,1.62667309010279,0.551937326027309,"https://www.fishbase.se/summary/Altrichthys-curatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_aureus","P","No","coral-reef",0.611163599054587,0.213441510676278,0.466904734026735,0.361047432885355,0.0179853301318779,0.315588820897104,0.0719852081539281,0.607636881474393,1.271546069608,1.67861572659417,0.539229956235588,"https://www.fishbase.se/summary/Amblyglyphidodon-aureus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_batunaorum","I","No","coral-reef",0.529181970324548,0.19782506682192,0.438889425641938,0.459286472698904,0.0218791707828119,0.252748873855582,0.0697454566728227,0.641699303858044,1.29282450949284,1.35621541322458,0.552302876810654,"https://www.fishbase.se/summary/Amblyglyphidodon-batunaorum.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_curacao","I","No","coral-reef",0.581934626430713,0.20560609437436,0.431809597493206,0.431797865867112,0.0203306618297787,0.285310819625022,0.0922900222372934,0.585961909903805,1.20096690126638,1.42855422502125,0.548876063198246,"https://www.fishbase.se/summary/Amblyglyphidodon-curacao.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_flavilatus","I","No","coral-reef",0.541137228630644,0.194505566169527,0.435111333986026,0.409340182788059,0.0205551816463839,0.27255714490487,0.111870301913637,0.581665731787019,1.26527597805773,1.64195099041925,0.548454142963752,"https://www.fishbase.se/summary/Amblyglyphidodon-flavilatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_flavopurpureus","P","No","coral-reef",0.580851113040104,0.227359251876491,0.51288593896862,0.353380452783359,0.0164368946228081,0.323362447669996,0.0741327143066772,0.520076970310195,1.15434595850968,1.69496435463965,0.549019966332662,"https://www.fishbase.se/summary/Amblyglyphidodon-flavopurpureus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_indicus","I","No","coral-reef",0.565052734890909,0.176702292707443,0.372135607531722,0.533521565414729,0.0184170851102892,0.267892889043688,0.0842114593867724,0.625403039710595,1.3066889742437,1.58873898591921,0.534857618768842,"https://www.fishbase.se/summary/Amblyglyphidodon-indicus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_leucogaster","P","No","coral-reef",0.564139619073861,0.16495224328145,0.375170596905901,0.44411273829112,0.0223028131377538,0.31762942487879,0.0956182677471098,0.576270134852429,1.29996135409868,1.43759097479818,0.542087279661201,"https://www.fishbase.se/summary/Amblyglyphidodon-leucogaster.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_melanopterus","P","No","coral-reef",0.565735752227964,0.198408067490994,0.48988699979471,0.481564499172125,0.022050208281338,0.272343177971816,0.126048399945163,0.546476950092872,1.21921649660267,1.3810930528323,0.547878448735418,"https://www.fishbase.se/summary/Amblyglyphidodon-melanopterus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_orbicularis","P","No","coral-reef",0.561666504191177,0.185599129046473,0.331030906179531,0.514367529311322,0.0224294084947294,0.273716968600005,0.108016432436627,0.55940515530776,1.29603763791759,1.48176468790569,0.548235531690949,"https://www.fishbase.se/summary/Amblyglyphidodon-orbicularis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_silolona","P","No","coral-reef",0.524208562993943,0.212811990261754,0.388890265983967,0.483522650834664,0.0196283339222506,0.285810887352889,0.0623903343802869,0.58920717595095,1.21045828402963,1.3882479685635,0.553089763283328,"https://www.fishbase.se/summary/Amblyglyphidodon-silolona.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblyglyphidodon_ternatensis","P","No","coral-reef",0.555205405101476,0.18019443641789,0.448320674652316,0.52905792239214,0.0220715265994734,0.262684670094671,0.0557020067786385,0.675876231034788,1.28422984900967,1.55578384183088,0.543683290879611,"https://www.fishbase.se/summary/Amblyglyphidodon-ternatensis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblypomacentrus_annulatus","I","No","seagrass-rubble-sand",0.555465336974221,0.209013468892403,0.439882276780809,0.550879329877844,0.015170133663243,0.243702538921734,0.0976363689888957,0.662635770656577,1.24624367429257,1.77442190666476,0.539451392602522,"https://www.fishbase.se/summary/Amblypomacentrus-annulatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblypomacentrus_breviceps","P","Mutualism","sea anemone",0.420701391382515,0.21763335940333,0.349245789228667,0.574620603507202,0.0239895529359159,0.240060694330629,0.0598158831268554,0.709888336636223,1.18992740464861,1.32102419512364,0.569722115293052,"https://www.fishbase.se/summary/Amblypomacentrus-breviceps.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblypomacentrus_clarus","P","Mutualism","sea anemone",0.356436164086897,0.176517879693979,0.395511421253257,0.441372461476893,0.0280748551234786,0.248809008164969,0.0966719074087305,0.806343105204712,1.26731691994867,1.294113986743,0.570150027891086,"https://www.fishbase.se/summary/Amblypomacentrus-clarus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblypomacentrus_kuiteri","P","No","seagrass-rubble-sand",0.507295237917957,0.25813867110148,0.441998701259859,0.364830745763853,0.0190699996532823,0.284183560833141,0.0692996724840744,0.615887741207163,1.19073971009058,1.88815767081924,0.565558244579788,"https://www.fishbase.se/summary/Amblypomacentrus-kuiteri.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amblypomacentrus_tricinctus","I","No","seagrass-rubble-sand",0.509792436929705,0.239518199120403,0.396716135163611,0.525936296929792,0.0197353619081616,0.276783706106193,0.0625494708574692,0.62572384697186,1.22316203919976,2.02449322129835,0.553169902294945,"https://fishbase.mnhn.fr/summary/Amblypomacentrus-tricinctus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_akallopisos","B","Mutualism","sea anemone",0.483646089848353,0.179754478129183,0.412085460118378,0.344465113731711,0.0202142644877479,0.245955281099516,0.0784451788279098,0.818920136769947,1.28541593794804,1.65161760893896,0.554234654425873,"https://www.fishbase.se/summary/Amphiprion-akallopisos.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_akindynos","I","Mutualism","sea anemone",0.520570556156973,0.178983886838083,0.444485940778895,0.409459157576911,0.0135919701677005,0.293059160085194,0.0774312842145002,0.733409718923278,1.23950445700849,2.09440515146186,0.539946686039946,"https://www.fishbase.se/summary/Amphiprion-akindynos.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_allardi","P","Mutualism","sea anemone",0.56915294110942,0.179016122439095,0.396489761160742,0.467519799070873,0.0207747510720721,0.309259785253703,0.0621194970894773,0.692045718852686,1.2665338365385,1.41442894225873,0.540886437082129,"https://www.fishbase.se/summary/Amphiprion-allardi.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_barberi","P","Mutualism","sea anemone",0.547383643915587,0.175932411594054,0.389195395180967,0.434698163387156,0.0192205657996333,0.315755959117579,0.0742634923800257,0.728050206189287,1.28418648817447,1.59996837590062,0.545227883776081,"https://www.fishbase.se/summary/Amphiprion-barberi.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_biaculeatus","P","Mutualism","sea anemone",0.514136473611071,0.174884592947791,0.368478916220377,0.335162272632742,0.0169137954941915,0.334887037001077,0.0628924502788864,0.78453882186889,1.37184693144253,2.42273609085922,0.547269196640029,"https://www.fishbase.se/summary/Amphiprion-biaculeatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_bicinctus","P","Mutualism","sea anemone",0.631180319904301,0.26900859667933,0.492483407041072,0.382892582075389,0.0130790953858094,0.382340511072813,0.080278762484638,0.616954422820121,1.31304191847094,2.0363026533538,0.549285633025462,"https://www.fishbase.se/summary/Amphiprion-bicinctus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_chagosensis","P","Mutualism","sea anemone",0.492808999521922,0.169552756305019,0.444841037363479,0.430806337166359,0.0212278744879908,0.255940794321675,0.0782419126848937,0.852446560479742,1.20311680337391,1.35195586550564,0.550976433020667,"https://www.fishbase.se/summary/Amphiprion-chagosensis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_chrysogaster","P","Mutualism","sea anemone",0.518619765953749,0.169223266190808,0.481667402859934,0.435344085653943,0.021861276731603,0.299162575703912,0.0712314543391597,0.710703569635225,1.3121293200351,1.27961014255656,0.549640924109621,"https://www.fishbase.se/summary/Amphiprion-chrysogaster.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_chrysopterus","P","Mutualism","sea anemone",0.563353263425172,0.186651254223036,0.425188755661477,0.435955609363372,0.018251685899504,0.288095358572863,0.102946170831581,0.665406416351703,1.32081943060805,1.96284239691126,0.536754209175557,"https://www.fishbase.se/summary/Amphiprion-chrysopterus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_clarkii","I","Mutualism","sea anemone",0.517496166097868,0.166926296939171,0.369485125867951,0.490441164330785,0.0226004013779917,0.302541213828721,0.0629795790558882,0.715865299755422,1.27609885074934,1.42055698753475,0.552088212327256,"https://www.fishbase.se/summary/Amphiprion-clarkii.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_ephippium","I","Mutualism","sea anemone",0.565820107147912,0.140172391178755,0.408698080407335,0.44870347506795,0.0133350312351728,0.330551092644479,0.0527166219795198,0.736335346119076,1.36883191441956,1.85899594968451,0.535094125822742,"https://www.fishbase.se/summary/Amphiprion-ephippium.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_frenatus","P","Mutualism","sea anemone",0.608676054407368,0.242276662207475,0.606953269149669,0.258911600674358,0.0203718175602803,0.314991953858561,0.0731103421281789,0.578929623213281,1.18894251745803,1.66036121989685,0.557673153179339,"https://www.fishbase.se/summary/Amphiprion-frenatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_latezonatus","P","Mutualism","sea anemone",0.531888623395687,0.209303011468138,0.567754136790918,0.358592165815149,0.0231427751648362,0.284717778139643,0.0588148538211979,0.589247817167412,1.36404342912668,1.00404244887977,0.562228991727163,"https://www.fishbase.se/summary/Amphiprion-latezonatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_latifasciatus","P","Mutualism","sea anemone",0.500369138654425,0.195527949207202,0.485477774549276,0.3967395202336,0.0259986281428319,0.251267840611458,0.0678805310386253,0.676474403346813,1.2702611265572,1.03317333117626,0.563123168959287,"https://www.fishbase.se/summary/Amphiprion-latifasciatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_leucokranos","P","Mutualism","sea anemone",0.461347331186836,0.183345708914146,0.499740386268149,0.37612551997084,0.022443532803684,0.274231892564318,0.0760232565686702,0.757340696261467,1.21017482772442,1.33198822748797,0.562819357396912,"https://www.fishbase.se/summary/Amphiprion-leucokranos.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_mccullochi","P","Mutualism","sea anemone",0.505021318019815,0.178046192390706,0.476670905886104,0.390132800375975,0.0229718540070019,0.289811553147292,0.0882042811141194,0.682277729675656,1.25232607067176,1.35682073189321,0.553834369565008,"https://www.fishbase.se/summary/Amphiprion-mccullochi.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_melanopus","P","Mutualism","sea anemone",0.593090901146465,0.228516463350521,0.506545541043441,0.393291903193072,0.0130890932882981,0.350405969838451,0.0734770315955055,0.602382144908537,1.25241970057762,2.15445925417052,0.54504815727947,"https://www.fishbase.se/summary/Amphiprion-melanopus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_nigripes","P","Mutualism","sea anemone",0.471888858740495,0.148527268816035,0.368513725495565,0.442184471453575,0.0308868427185448,0.238386586101602,0.0621804472592576,0.774053705041492,1.36889265546041,1.25093805393786,0.56364114354601,"https://www.fishbase.se/summary/Amphiprion-nigripes.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_ocellaris","P","Mutualism","sea anemone",0.459048849915358,0.214546194291623,0.480385406494942,0.29818071933953,0.0199693389466538,0.275419452523387,0.0608491765109022,0.776459216419446,1.23561203434946,1.86788137418213,0.563237480443732,"https://www.fishbase.se/summary/Amphiprion-ocellaris.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_omanensis","P","Mutualism","sea anemone",0.691274745301488,0.291016461313234,0.493556943169129,0.329535294252819,0.0180253756254188,0.304026788809886,0.0558359042122796,0.644125820980371,1.23884794668609,1.62531509597622,0.54621914019828,"https://www.fishbase.se/summary/Amphiprion-omanensis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_pacificus","P","Mutualism","sea anemone",0.423636265173605,0.20155182786503,0.539121941728134,0.296037398511851,0.0240111911725053,0.237979272012919,0.0771552955271546,0.724656344301801,1.18600261609288,1.28107064360789,0.574415522124928,"https://www.fishbase.se/summary/Amphiprion-pacificus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_percula","P","Mutualism","sea anemone",0.478004879509997,0.240898675733556,0.550293221623532,0.216302663782934,0.0220018740304736,0.266384948993061,0.0875262765126892,0.656760911236647,1.21289255050514,1.95923889520482,0.56968838238776,"https://www.fishbase.se/summary/Amphiprion-percula.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_perideraion","P","Mutualism","sea anemone",0.489558093192818,0.181900148367373,0.482241401021222,0.299291273991375,0.0202757842406107,0.27103973962755,0.0728036256988027,0.755474985725486,1.25524651828622,1.68553883146927,0.551476053644173,"https://www.fishbase.se/summary/Amphiprion-perideraion.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_polymnus","P","Mutualism","sea anemone",0.481022008693935,0.198538826461739,0.366770190406378,0.525761239459353,0.0177489031451882,0.248322328217945,0.0712192681400795,0.707805291011442,1.18801997678245,1.62337029847635,0.548264077037676,"https://www.fishbase.se/summary/Amphiprion-polymnus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_rubrocinctus","P","Mutualism","sea anemone",0.520770301509539,0.159215738990829,0.377265367275692,0.508610108811496,0.0220219098059428,0.331741464358192,0.0723065184048392,0.72395428936346,1.30398523917459,1.61745090713724,0.548819275858298,"https://www.fishbase.se/summary/Amphiprion-rubrocinctus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_sandaracinos","P","Mutualism","sea anemone",0.461418900299396,0.199148217191635,0.540706426304977,0.307568685934853,0.0286126005619859,0.261426284979257,0.0818520351353044,0.728367620471522,1.26255840482811,1.66788546625563,0.571290307743732,"https://www.fishbase.se/summary/Amphiprion-sandaracinos.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_sebae","P","Mutualism","sea anemone",0.447076157413738,0.170606595482672,0.357751401733814,0.516139638962476,0.0236258157676581,0.241005041358444,0.0711285871545238,0.743031901755642,1.17917727866794,1.26974193462336,0.554319326556129,"https://www.fishbase.se/summary/Amphiprion-sebae.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Amphiprion_tricinctus","P","Mutualism","sea anemone",0.603105254740244,0.214299890584208,0.562721604828362,0.363633086092395,0.0114678926702764,0.322682015011228,0.0885856845645407,0.644304628308505,1.15172420953294,1.62909279993368,0.527239462245643,"https://www.fishbase.se/summary/Amphiprion-tricinctus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Azurina_atrilobata","P","No","rocky-reef",0.432500572877788,0.206447370937212,0.511173860043521,0.376460302582256,0.0249768191279024,0.256279964176024,0.0774975770734291,0.679222641653988,1.18028950787717,1.59526298379397,0.5620440315931,"https://www.fishbase.se/summary/Azurina-atrilobata.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Azurina_brevirostris","P","No","rocky-reef",0.599562963289759,0.199788628807773,0.291142446971204,0.56251517153619,0.0134983108921319,0.378848727038444,0.0599177377250322,0.587373107178485,1.38457999251663,1.99739807466684,0.533249699898728,"https://www.fishbase.se/summary/Azurina-brevirostris.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Azurina_cyanea","P","No","rocky-reef",0.397203857537347,0.235807098756409,0.488034103435446,0.390439218784279,0.0274201330946568,0.21118783364909,0.104375350154748,0.62558791085152,1.12956457957814,1.35312254541026,0.578912039286225,"https://www.fishbase.se/summary/Azurina-cyanea.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Azurina_elerae","P","No","rocky-reef",0.413318591998011,0.220482555063543,0.436513254478998,0.402770329705639,0.0252542168069389,0.168171000377253,0.1500686426716,0.682822235213533,1.25748088332172,1.19002531893136,0.56962940173384,"https://www.fishbase.se/summary/Azurina-elerae.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Azurina_hirundo","P","No","rocky-reef",0.349662026828771,0.170637879400121,0.464546089619433,0.400205834805696,0.0330931378157305,0.229535092519372,0.0450561725502803,0.82257430672853,1.13925545492915,0.974847999000755,0.583778796831232,"https://www.fishbase.se/summary/Azurina-hirundo.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Azurina_lepidolepis","P","No","coral-reef",0.505352731389926,0.230178272431038,0.396612066540533,0.501721369327667,0.0275943085314455,0.208315844035293,0.0526099341037985,0.603673728846051,1.20946641632151,1.39111247175698,0.559440862075066,"https://www.fishbase.se/summary/Azurina-lepidolepis.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Azurina_multilineata","P","No","rocky-reef",0.412182992389681,0.16563809313602,0.443968594332913,0.388089406714327,0.0326397931044321,0.217524890109644,0.0715098431800467,0.688222111667117,1.13440878020652,1.18775213024047,0.567718862315543,"https://www.fishbase.se/summary/Azurina-multilineata.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Cheiloprion_labiatus","B","No","coral-reef",0.507696156703376,0.235109535145171,0.592141935031082,0.338766890818117,0.0192081427123702,0.257714847294835,0.0719874436745506,0.627412093023299,1.12121616022836,1.37566149102748,0.562642791541859,"https://www.fishbase.se/summary/Cheiloprion-labiatus.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
"Chromis_abyssicola","P","No","coral-reef",0.477636220520518,0.21771837638999,0.346182115247445,0.535891336217069,0.0152570546025118,0.218670239728976,0.0491268983601595,0.684016205410633,1.27614116907085,1.81559447164817,0.541962723796869,"https://www.fishbase.se/summary/Chromis-abyssicola.html","ReefLifeSurvey, FishesOfAustralia, Reeflex",""
