"","habitat1","habitat2","habitat3","habitat4","behavior","type1","type2","source","link"
"Abudefduf sparoides","rocky-reef","coral-reef","","","free-swimming","inshore-reef","inshore-reef","https://www.fishbase.se/summary/Abudefduf-sparoides.html","source"
"Abudefduf taurus","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-taurus.html","source"
"Abudefduf troschelii","coral-reef","rocky-reef","sandy-bottom","tide-pool","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-troschelii.html","source"
"Abudefduf vaigiensis","coral-reef","rocky-reef","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Abudefduf-vaigiensis.html","source"
"Abudefduf whitleyi","coral-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Abudefduf-whitleyi.html","source"
"Acanthochromis polyacanthus","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Acanthochromis-polyacanthus.html","source"
"Altrichthys curatus","branching-coral","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Altrichthys-curatus.html","source"
"Altrichthys alelia","branching-coral","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Altrichthys-alelia.html","source"
"Altrichthys azurelineatus","branching-coral","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Altrichthys-azurelineatus.html","source"
"Amblyglyphidodon aureus","lagoon","soft-coral","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amblyglyphidodon-aureus.html","source"
"Amblyglyphidodon batunaorum","lagoon","branching-coral","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amblyglyphidodon-batunaorum.html","source"
"Amblyglyphidodon curacao","branching-coral","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amblyglyphidodon-curacao.html","source"
"Amblyglyphidodon flavilatus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amblyglyphidodon-flavilatus.html","source"
"Amblyglyphidodon flavopurpureus","soft-coral","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Amblyglyphidodon-flavopurpureus.html","source"
"Amblyglyphidodon indicus","branching-coral","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amblyglyphidodon-indicus.html","source"
"Amblyglyphidodon leucogaster","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amblyglyphidodon-leucogaster.html","source"
"Amblyglyphidodon melanopterus","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amblyglyphidodon-melanopterus.html","source"
"Amblyglyphidodon orbicularis","coral-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amblyglyphidodon-orbicularis.html","source"
"Amblyglyphidodon silolona","branching-coral","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amblyglyphidodon-silolona.html","source"
"Amblyglyphidodon ternatensis","branching-coral","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amblyglyphidodon-ternatensis.html","source"
"Amblypomacentrus breviceps","lagoon","sandy-bottom","rocky-reef","sea anemone","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amblypomacentrus-breviceps.html","source"
"Amblypomacentrus clarus","lagoon","sandy-bottom","rocky-reef","sea anemone","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amblypomacentrus-clarus.html","source"
"Amblypomacentrus kuiteri","coral-reef","sandy-bottom","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Amblypomacentrus-kuiteri.html","source"
"Amphiprion akallopisos","sea anemone","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-akallopisos.html","source"
"Amphiprion akindynos","sea anemone","lagoon","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Amphiprion-akindynos.html","source"
"Amphiprion allardi","sea anemone","lagoon","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Amphiprion-allardi.html","source"
"Amphiprion barberi","sea anemone","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-barberi.html","source"
"Amphiprion biaculeatus","sea anemone","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-biaculeatus.html","source"
"Amphiprion bicinctus","sea anemone","lagoon","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Amphiprion-bicinctus.html","source"
"Amphiprion chagosensis","sea anemone","coral-reef","lagoon","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-chagosensis.html","source"
"Amphiprion chrysogaster","sea anemone","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-chrysogaster.html","source"
"Amphiprion chrysopterus","sea anemone","coral-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Amphiprion-chrysopterus.html","source"
"Amphiprion clarkii","sea anemone","lagoon","coral-reef","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-clarkii.html","source"
"Amphiprion ephippium","sea anemone","lagoon","coral-reef","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-ephippium.html","source"
"Amphiprion frenatus","sea anemone","coral-reef","lagoon","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-frenatus.html","source"
"Amphiprion latezonatus","sea anemone","rocky-reef","coral-reef","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-latezonatus.html","source"
"Amphiprion latifasciatus","sea anemone","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-latifasciatus.html","source"
"Amphiprion leucokranos","sea anemone","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-leucokranos.html","source"
"Amphiprion mccullochi","sea anemone","rocky-reef","lagoon","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Amphiprion-mccullochi.html","source"
"Amphiprion melanopus","sea anemone","coral-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Amphiprion-melanopus.html","source"
"Amphiprion nigripes","sea anemone","rocky-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Amphiprion-nigripes.html","source"
"Amphiprion ocellaris","sea anemone","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-ocellaris.html","source"
"Amphiprion omanensis","sea anemone","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-omanensis.html","source"
"Amphiprion pacificus","sea anemone","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-pacificus.html","source"
"Amphiprion percula","sea anemone","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-percula.html","source"
"Amphiprion perideraion","sea anemone","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-perideraion.html","source"
"Amphiprion polymnus","sea anemone","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-polymnus.html","source"
"Amphiprion rubrocinctus","sea anemone","lagoon","coral-reef","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-rubrocinctus.html","source"
"Amphiprion sandaracinos","sea anemone","lagoon","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Amphiprion-sandaracinos.html","source"
"Amphiprion sebae","sea anemone","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Amphiprion-sebae.html","source"
"Amphiprion tricinctus","sea anemone","lagoon","","","site-attached","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Amphiprion-tricinctus.html","source"
"Azurina atrilobata","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Azurina-atrilobata.html","source"
"Azurina brevirostris","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Azurina-brevirostris.html","source"
"Azurina cyanea","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Azurina-cyanea.html","source"
"Azurina elerae","crevice","soft-coral","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Azurina-elerae.html","source"
"Azurina hirundo","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Azurina-hirundo.html","source"
"Azurina lepidolepis","branching-coral","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Azurina-lepidolepis.html","source"
"Azurina multilineata","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Azurina-multilineata.html","source"
"Cheiloprion labiatus","branching-coral","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Cheiloprion-labiatus.html","source"
"Chromis abyssicola","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-abyssicola.html","source"
"Chrysiptera rapanui","coral-reef","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-rapanui.html","source"
"Chrysiptera rex","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-rex.html","source"
"Chrysiptera rollandi","lagoon","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-rollandi.html","source"
"Chrysiptera sinclairi","lagoon","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-sinclairi.html","source"
"Chrysiptera springeri","lagoon","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-springeri.html","source"
"Chrysiptera starcki","rocky-reef","crevice","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-starcki.html","source"
"Chrysiptera talboti","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-talboti.html","source"
"Chrysiptera taupou","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-taupou.html","source"
"Chrysiptera traceyi","lagoon","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-traceyi.html","source"
"Chrysiptera unimaculata","algal-reefs","rubble","rocky-reef","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-unimaculata.html","source"
"Chrysiptera uswanasi","lagoon","branching-coral","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-uswanasi.html","source"
"Chromis abyssus","sandy-bottom","rubble","rocky-reef","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-abyssus.html","source"
"Chromis albicauda","rocky-reef","coral-reef","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Chromis-albicauda.html","source"
"Chromis albomaculata","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-albomaculata.html","source"
"Chromis alpha","lagoon","branching-coral","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-alpha.html","source"
"Chromis alta","rocky-reef","coral-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-alta.html","source"
"Chromis analis","rocky-reef","branching-coral","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-analis.html","source"
"Chromis atripectoralis","lagoon","branching-coral","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-atripectoralis.html","source"
"Chromis bowesi","rocky-reef","coral-reef","","",NA,"offshore-reef","","https://www.fishbase.se/summary/Chromis-bowesi.html","source"
"Chromis cadenati","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-cadenati.html","source"
"Chromis chromis","rocky-reef","seagrass","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-chromis.html","source"
"Chromis chrysura","rocky-reef","coral-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-chrysura.html","source"
"Chromis cinerascens","coral-reef","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-cinerascens.html","source"
"Chromis circumaurea","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-circumaurea.html","source"
"Chromis crusma","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-crusma.html","source"
"Chromis degruyi","rocky-reef","crevice","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-degruyi.html","source"
"Chromis dispila","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-dispila.html","source"
"Chromis earina","rocky-reef","crevice","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-earina.html","source"
"Chromis flavapicis","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-flavapicis.html","source"
"Chromis flavaxilla","branching-coral","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-flavaxilla.html","source"
"Chromis fumea","rocky-reef","lagoon","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-fumea.html","source"
"Chromis gunting","rocky-reef","coral-reef","","",NA,"offshore-reef","","https://www.fishbase.se/summary/Chromis-gunting.html","source"
"Chromis hangganan","rocky-reef","coral-reef","","",NA,"offshore-reef","","https://www.fishbase.se/summary/Chromis-hangganan.html","source"
"Chromis hypsilepis","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-hypsilepis.html","source"
"Chromis insolata","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-insolata.html","source"
"Chromis kennensis","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-kennensis.html","source"
"Chromis klunzingeri","coral-reef","","","",NA,"offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-klunzingeri.html","source"
"Chromis limbata","rocky-reef","seagrass","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-limbata.html","source"
"Chromis limbaughi","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-limbaughi.html","source"
"Chromis lubbocki","rocky-reef","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chromis-lubbocki.html","source"
"Chromis mamatapara","rocky-reef","sandy-bottom","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-mamatapara.html","source"
"Chromis mirationis","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-mirationis.html","source"
"Chromis nitida","coral-reef","rocky-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-nitida.html","source"
"Chromis notata","coral-reef","rocky-reef","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-notata.html","source"
"Chromis okamurai","coral-reef","rocky-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-okamurai.html","source"
"Chromis opercularis","lagoon","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-opercularis.html","source"
"Chromis ovalis","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-ovalis.html","source"
"Chromis pamae","rocky-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-pamae.html","source"
"Chromis pelloura","coral-reef","crevice","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-pelloura.html","source"
"Chromis pembae","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-pembae.html","source"
"Chromis punctipinnis","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-punctipinnis.html","source"
"Chromis randalli","rocky-reef","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-randalli.html","source"
"Chromis sanctaehelenae","rocky-reef","rubble","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-sanctaehelenae.html","source"
"Chromis scotochiloptera","crevice","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-scotochiloptera.html","source"
"Chromis scotti","coral-reef","","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-scotti.html","source"
"Chromis ternatensis","branching-coral","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-ternatensis.html","source"
"Chromis tingting","rocky-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-tingting.html","source"
"Chromis vanbebberae","rocky-reef","coral-reef","crevice","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-vanbebberae.html","source"
"Chromis verater","rocky-reef","coral-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-verater.html","source"
"Chromis viridis","branching-coral","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chromis-viridis.html","source"
"Chromis weberi","rocky-reef","coral-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-weberi.html","source"
"Chromis woodsi","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chromis-woodsi.html","source"
"Chromis xanthochira","rocky-reef","coral-reef","","","free-swimming","offshore-reef","offshore-reef","https://www.fishbase.se/summary/Chromis-xanthochira.html","source"
"Chromis xanthopterygia","rocky-reef","coral-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-xanthopterygia.html","source"
"Chromis xanthura","rocky-reef","coral-reef","","","free-swimming","inshore-reef","offshore-reef","https://www.fishbase.se/summary/Chromis-xanthura.html","source"
"Chromis yamakawai","rocky-reef","coral-reef","","","free-swimming","offshore-reef","","https://www.fishbase.se/summary/Chromis-yamakawai.html","source"
"Chrysiptera biocellata","lagoon","rubble","rocky-reef","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-biocellata.html","source"
"Chrysiptera brownriggii","rocky-reef","coral-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-brownriggii.html","source"
"Chrysiptera burtjonesi","branching-coral","rocky-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-burtjonesi.html","source"
"Chrysiptera caeruleolineata","rubble","rocky-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-caeruleolineata.html","source"
"Chrysiptera caesifrons","rocky-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-caesifrons.html","source"
"Chrysiptera chrysocephala","lagoon","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-chrysocephala.html","source"
"Chrysiptera cyanea","rubble","lagoon","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-cyanea.html","source"
"Chrysiptera flavipinnis","rubble","coral-reef","sandy-bottom","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-flavipinnis.html","source"
"Chrysiptera galba","rocky-reef","coral-reef","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-galba.html","source"
"Chrysiptera giti","rocky-reef","branching-coral","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-giti.html","source"
"Chrysiptera glauca","rubble","rocky-reef","sandy-bottom","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Chrysiptera-glauca.html","source"
"Chrysiptera hemicyanea","branching-coral","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Chrysiptera-hemicyanea.html","source"
"Chrysiptera oxycephala","branching-coral","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-oxycephala.html","source"
"Chrysiptera parasema","branching-coral","lagoon","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Chrysiptera-parasema.html","source"
"Dascyllus abudafur","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-abudafur.html","source"
"Dascyllus albisella","rocky-reef","coral-reef","sea anemone","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-albisella.html","source"
"Dascyllus aruanus","branching-coral","","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Dascyllus-aruanus.html","source"
"Dascyllus carneus","branching-coral","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-carneus.html","source"
"Dascyllus flavicaudus","branching-coral","rocky-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-flavicaudus.html","source"
"Dascyllus marginatus","branching-coral","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-marginatus.html","source"
"Dascyllus melanurus","branching-coral","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-melanurus.html","source"
"Dascyllus reticulatus","lagoon","branching-coral","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-reticulatus.html","source"
"Dascyllus strasburgi","rocky-reef","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-strasburgi.html","source"
"Dascyllus trimaculatus","rocky-reef","coral-reef","sea anemone","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dascyllus-trimaculatus.html","source"
"Dischistodus chrysopoecilus","lagoon","seagrass","sandy-bottom","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Dischistodus-chrysopoecilus.html","source"
"Dischistodus melanotus","lagoon","sandy-bottom","rubble","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dischistodus-melanotus.html","source"
"Dischistodus perspicillatus","seagrass","sandy-bottom","lagoon","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dischistodus-perspicillatus.html","source"
"Dischistodus prosopotaenia","lagoon","sandy-bottom","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Dischistodus-prosopotaenia.html","source"
"Dischistodus pseudochrysopoecilus","lagoon","rubble","sandy-bottom","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Dischistodus-pseudochrysopoecilus.html","source"
"Hemiglyphidodon plagiometopon","lagoon","branching-coral","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Hemiglyphidodon-plagiometopon.html","source"
"Hypsypops rubicundus","rocky-reef","crevice","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Hypsypops-rubicundus.html","source"
"Lepidozygus tapeinosoma","lagoon","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Lepidozygus-tapeinosoma.html","source"
"Mecaenichthys immaculatus","seagrass","rocky-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Mecaenichthys-immaculatus.html","source"
"Microspathodon bairdii","rocky-reef","","","","free-swimming","inshore-reef","","https://www.fishbase.se/summary/Microspathodon-bairdii.html","source"
"Microspathodon chrysurus","coral-reef","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Microspathodon-chrysurus.html","source"
"Microspathodon dorsalis","rocky-reef","","","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Microspathodon-dorsalis.html","source"
"Neopomacentrus aktites","rocky-reef","crevice","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-aktites.html","source"
"Neopomacentrus anabatoides","lagoon","rocky-reef","coral-reef","","free-swimming","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-anabatoides.html","source"
"Neopomacentrus aquadulcis","freshwater","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-aquadulcis.html","source"
"Neopomacentrus azysron","coral-reef","","","","site-attached","offshore-reef","","https://www.fishbase.se/summary/Neopomacentrus-azysron.html","source"
"Neopomacentrus bankieri","rocky-reef","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Neopomacentrus-bankieri.html","source"
"Neopomacentrus cyanomos","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-cyanomos.html","source"
"Neopomacentrus filamentosus","lagoon","rubble","rocky-reef","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neopomacentrus-filamentosus.html","source"
"Neoglyphidodon bonang","coral-reef","","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neoglyphidodon-bonang.html","source"
"Neoglyphidodon carlsoni","coral-reef","crevice","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neoglyphidodon-carlsoni.html","source"
"Neoglyphidodon melas","lagoon","soft-coral","branching-coral","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neoglyphidodon-melas.html","source"
"Neoglyphidodon nigroris","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neoglyphidodon-nigroris.html","source"
"Neoglyphidodon oxyodon","lagoon","coral-reef","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Neoglyphidodon-oxyodon.html","source"
"Neoglyphidodon polyacanthus","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neoglyphidodon-polyacanthus.html","source"
"Neoglyphidodon thoracotaeniatus","lagoon","coral-reef","","","site-attached","offshore-reef","inshore-reef","https://www.fishbase.se/summary/Neoglyphidodon-thoracotaeniatus.html","source"
"Neopomacentrus fuliginosus","rocky-reef","seagrass","","","site-attached","inshore-reef","","https://www.fishbase.se/summary/Neopomacentrus-fuliginosus.html","source"
